Position,Name,Known For,Birth Date
1,Ertem Egilmez,Canim Kardesim,18-02-29
2,Akira Kurosawa,Kakushi-toride no san-akunin,23-03-10
3,Alfred Hitchcock,Psycho,1899-08-13
4,Ingmar Bergman,Smultronstället,14-07-18
5,Steven Spielberg,Schindler's List,18-12-46
6,Billy Wilder,The Apartment,22-06-06
7,Christopher Nolan,Tenet,30-07-70
8,Stanley Kubrick,2001: A Space Odyssey,26-07-28
9,Martin Scorsese,Taxi Driver,17-11-42
10,William Wyler,The Best Years of Our Lives,01-07-02
11,Yasujirô Ozu,Tôkyô monogatari,12-12-03
12,Charles Chaplin,The Great Dictator,1889-04-16
13,Quentin Tarantino,Reservoir Dogs,27-03-63
14,Hayao Miyazaki,Sen to Chihiro no kamikakushi,05-01-41
15,Francis Ford Coppola,Apocalypse Now,07-04-39
16,Mani Ratnam,Dil Se..,02-06-55
17,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,31-10-61
18,Sergio Leone,Once Upon a Time in America,03-01-29
19,Luis Buñuel,Le charme discret de la bourgeoisie,22-02-00
20,David Fincher,Se7en,28-08-62
21,Howard Hawks,Rio Bravo,1896-05-30
22,Fritz Lang,Le mépris,1890-12-05
23,Sidney Lumet,12 Angry Men,25-06-24
24,Frank Capra,It's a Wonderful Life,1897-05-18
25,Masaki Kobayashi,Seppuku,14-02-16
26,George Cukor,My Fair Lady,1899-07-07
27,John Ford,The Quiet Man,1894-02-01
28,David Lean,Lawrence of Arabia,25-03-08
29,Jean-Luc Godard,Bande à part,03-12-30
30,Andrei Tarkovsky,Offret,04-04-32
31,Elia Kazan,On the Waterfront,07-09-09
32,Woody Allen,Annie Hall,30-11-35
33,Buster Keaton,The General,1895-10-04
34,Federico Fellini,Amarcord,20-01-20
35,Satyajit Ray,Pather Panchali,02-05-21
36,Leonid Gaidai,Operatsiya 'Y' i drugie priklyucheniya Shurika,30-01-23
37,Michael Curtiz,Casablanca,1886-12-24
38,Clint Eastwood,Million Dollar Baby,31-05-30
39,Hrishikesh Mukherjee,Anand,30-09-22
40,John Huston,The Treasure of the Sierra Madre,05-08-06
41,Mervyn LeRoy,Gypsy,15-10-00
42,Eldar Ryazanov,Nebesa obetovannye,18-11-27
43,Mario Monicelli,I compagni,16-05-15
44,King Vidor,War and Peace,1894-02-08
45,Ethan Coen,The Ballad of Buster Scruggs,21-09-57
46,Slobodan Sijan,Ko to tamo peva,16-11-46
47,Ernst Lubitsch,To Be or Not to Be,1892-01-29
48,Ridley Scott,The Martian,30-11-37
49,Sam Wood,A Night at the Opera,1883-07-10
50,Luchino Visconti,Il gattopardo,02-11-06
51,Yimou Zhang,Ying xiong,14-11-51
52,Kenji Mizoguchi,Ugetsu monogatari,1898-05-16
53,Frank Darabont,The Shawshank Redemption,28-01-59
54,Richard Linklater,Waking Life,30-07-60
55,Robert Zemeckis,Back to the Future,14-05-52
56,Emir Kusturica,Underground,24-11-54
57,Orson Welles,Citizen Kane,06-05-15
58,Raoul Walsh,The Birth of a Nation,1887-03-11
59,Roman Polanski,Chinatown,18-08-33
60,Anurag Kashyap,Gangs of Wasseypur,10-09-72
61,Jean-Pierre Melville,Le cercle rouge,20-10-17
62,James Cameron,Avatar: The Way of Water,16-08-54
63,François Truffaut,La nuit américaine,06-02-32
64,Milos Forman,One Flew Over the Cuckoo's Nest,18-02-32
65,Michael Powell,Peeping Tom,30-09-05
66,Georgiy Daneliya,Kin-dza-dza!,25-08-30
